Employee_No,Title,Gender,Marital_Status,Date_Joined,Date_Resigned,Status,Inactive_Date,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Average_work_Time,Average_late_hours,Average_leave_early_hours,Project_Codes,absent count,Average Salary
599,Mr,Male,Married,1/13/2020,\N,Inactive,6/24/2020,Staff,Contarct Basis,Buddhist,Technical Officer,1961.0,NA,NA,NA,NA,NA,NA
601,Mr,Female,Single,1/27/2020,11/26/2021,Inactive,11/30/2021,Staff,Contarct Basis,Buddhist,Draughtsman,1996.0,9.14,0.01,-0.43,{196.0},16.0,19141.0
603,Mr,Male,Single,1/6/2020,1/31/2020,Inactive,1/31/2020,Staff,Contarct Basis,Hindu,Technical Officer,1993.0,NA,NA,NA,NA,NA,NA
604,Mr,Male,Married,1/13/2020,7/30/2021,Inactive,7/30/2021,Staff,Contarct Basis,Buddhist,Site Engineer,1981.0,9.67,-0.13,-0.55,{193.0},4.0,NA
605,Mr,Male,Married,12/2/2019,9/18/2020,Inactive,9/18/2020,Staff,Contarct Basis,Buddhist,Project Manager,1984.0,NA,NA,NA,NA,NA,NA
606,Mr,Male,Married,12/4/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1996.0,13.66,-0.38,-5.58,{188.0},7.0,43117.0
607,Ms,Female,Single,12/4/2019,5/3/2021,Inactive,5/3/2021,Staff,Contarct Basis,Buddhist,Planning Engineer,1993.0,9.64,0.21,-1.81,{1.0},1.0,NA
608,Mr,Male,Single,12/10/2019,3/14/2021,Inactive,2/14/2021,Staff,Contarct Basis,Hindu,Technical Officer,1994.0,9.89,-0.18,-0.72,{195.0},1.0,NA
609,Ms,Female,Married,12/26/2019,\N,Inactive,7/31/2020,Staff,Contarct Basis,Buddhist,HR Executive,1986.0,NA,NA,NA,NA,NA,NA
610,Mr,Male,Married,12/30/2019,9/12/2022,Inactive,9/12/2022,Staff,Contarct Basis,Hindu,Assistance QS,1995.0,10.57,-0.21,-2.0,"{199.0, 199.1}",1.0,50089.0
611,Mr,Male,Married,12/30/2019,4/30/2022,Inactive,4/30/2022,Staff,Contarct Basis,Buddhist,Supervisor,1971.0,12.43,-0.43,-3.45,{196.0},20.0,43808.0
614,Mr,Male,Married,7/1/2019,7/31/2021,Inactive,7/31/2021,Staff,Contarct Basis,Buddhist,Store Keeper,1946.0,9.3,-0.1,-0.27,{189.0},1.0,20599.0
615,Mr,Male,Married,2/26/2019,10/31/2021,Inactive,10/31/2021,Staff,Contarct Basis,Buddhist,Site Engineer,1970.0,12.24,-0.89,-2.65,{193.0},9.0,NA
616,Mr,Male,Single,7/24/2019,2/28/2022,Inactive,2/28/2022,Staff,Contarct Basis,Hindu,Quantity Surveyor,1993.0,12.18,-0.24,-3.41,"{169.0, 197.0}",0.0,62275.0
617,Mr,Male,Single,4/23/2019,9/29/2020,Inactive,9/29/2020,Staff,Contarct Basis,Muslim,Site Engineer,1994.0,NA,NA,NA,NA,NA,NA
618,Mr,Male,Married,7/24/2019,2/26/2022,Inactive,2/26/2022,Staff,Contarct Basis,Buddhist,Safety Officer,1984.0,10.41,-0.18,-1.21,{197.0},0.0,36665.0
619,Mr,Male,Single,7/23/2019,7/30/2021,Inactive,7/30/2021,Staff,Contarct Basis,Buddhist,Supervisor,1991.0,10.59,0.14,-1.88,{193.0},5.0,14500.0
620,Mr,Male,Single,7/23/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Supervisor,1993.0,13.17,-0.64,-4.14,{196.0},15.0,42115.0
621,Mr,Male,Single,7/1/2019,11/30/2021,Inactive,11/30/2021,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1987.0,9.09,0.02,-0.38,{196.0},15.0,12775.0
622,Mr,Male,Single,9/15/2019,11/23/2020,Inactive,11/23/2020,Staff,Contarct Basis,Buddhist,Engineer Assistant,1990.0,NA,NA,NA,NA,NA,NA
624,Mr,Male,Single,9/15/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,QAQC Engineer,1992.0,10.12,0.22,-1.53,"{198.0, 197.0, 198.1}",11.0,106529.0
625,Mr,Male,Married,6/2/2018,2/12/2021,Inactive,2/12/2021,Staff,Contarct Basis,Buddhist,Project Manager,1965.0,NA,NA,NA,NA,NA,NA
626,Ms,Female,Single,8/26/2019,10/25/2021,Inactive,10/25/2021,Staff,Contarct Basis,Buddhist,Draughtsman,1993.0,8.37,0.7,-0.35,"{198.0, 198.1}",1.0,23577.0
627,Mr,Male,Single,9/2/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1990.0,12.48,-0.11,-4.21,{196.0},13.0,61508.0
628,Mr,Male,Married,9/12/2019,2/28/2022,Inactive,2/28/2022,Staff,Contarct Basis,Buddhist,Project Manager,1981.0,9.43,0.86,-2.25,{169.0},22.0,211321.0
629,Mr,Male,Single,9/16/2019,4/30/2022,Inactive,4/30/2022,Staff,Contarct Basis,Buddhist,Draughtsman,1993.0,9.27,0.16,-0.88,"{169.0, 197.0}",0.0,56458.0
630,Mr,Male,Single,8/22/2019,4/30/2021,Inactive,4/30/2021,Staff,Contarct Basis,Buddhist,Supervisor,1989.0,9.66,-0.41,-0.25,"{169.0, 197.0}",0.0,NA
631,Mr,Male,Single,12/26/2018,\N,Inactive,10/31/2020,Staff,Contarct Basis,Buddhist,Site Engineer,1992.0,NA,NA,NA,NA,NA,NA
633,Mr,Male,Married,7/8/2019,\N,Inactive,8/30/2020,Staff,Contarct Basis,Buddhist,Site Engineer,1990.0,NA,NA,NA,NA,NA,NA
634,Mr,Male,Married,9/1/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Safety Officer,1971.0,12.06,0.3,-4.64,"{199.0, 203.0, 199.1}",3.0,58171.0
635,Mr,Male,Single,9/16/2019,11/30/2020,Inactive,11/30/2020,Staff,Contarct Basis,Hindu,Supervisor,1996.0,NA,NA,NA,NA,NA,NA
636,Mr,Male,Single,9/16/2019,\N,Active,\N,Staff,Contarct Basis,Hindu,Engineer Assistant,1994.0,12.75,0.5,-5.52,"{199.0, 199.1}",10.0,67903.0
638,Mr,Male,Married,9/26/2019,\N,Inactive,9/17/2020,Staff,Contarct Basis,Buddhist,Technical Officer,1989.0,NA,NA,NA,NA,NA,NA
639,Mr,Male,Single,10/14/2019,10/10/2022,Inactive,10/10/2022,Staff,Contarct Basis,Hindu,Technical Officer,1989.0,11.73,0.41,-4.42,"{199.0, 199.1}",0.0,74351.0
640,Mr,Male,Married,9/26/2019,6/30/2020,Inactive,6/30/2020,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1966.0,NA,NA,NA,NA,NA,NA
641,Mr,Male,Married,10/1/2019,7/31/2020,Inactive,7/31/2020,Staff,Contarct Basis,Buddhist,Technical Officer,1987.0,NA,NA,NA,NA,NA,NA
642,Mr,Male,Married,10/10/2019,4/30/2021,Inactive,4/30/2021,Staff,Contarct Basis,Hindu,Store Keeper,1952.0,12.64,-0.84,-2.8,{197.0},0.0,NA
643,Mr,Male,Married,6/29/2019,10/15/2020,Inactive,10/15/2020,Staff,Contarct Basis,Hindu,Technical Officer,1985.0,NA,NA,NA,NA,NA,NA
644,Mr,Male,Single,10/21/2019,5/14/2022,Inactive,5/14/2022,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1996.0,11.81,-0.55,-2.79,{193.0},16.0,26417.0
645,Mr,Male,Single,10/28/2019,1/23/2022,Inactive,1/23/2022,Staff,Contarct Basis,Hindu,Site Engineer,1987.0,9.63,0.02,-0.92,"{199.0, 199.1}",1.0,147752.0
646,Mr,Male,Married,11/6/2019,\N,Active,\N,Staff,Contarct Basis,Hindu,Engineer Assistant,1987.0,12.15,0.47,-5.02,"{199.0, 199.1}",0.0,72489.0
649,Mr,Male,Married,11/18/2019,11/17/2020,Inactive,11/17/2020,Staff,Contarct Basis,Catholic,Project Manager,1971.0,NA,NA,NA,NA,NA,NA
650,Mr,Male,Married,11/19/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Safety Officer,1968.0,10.4,0.54,-2.8,"{198.1, 205.0, 198.0}",9.0,60162.0
651,Mr,Male,Married,11/20/2019,\N,Inactive,11/20/2020,Staff,Contarct Basis,Hindu,Project Manager,1969.0,NA,NA,NA,NA,NA,NA
652,Mr,Male,Married,11/20/2019,10/10/2020,Inactive,10/10/2020,Staff,Contarct Basis,Hindu,Site Engineer,1987.0,NA,NA,NA,NA,NA,NA
653,Mr,Male,Married,11/25/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1976.0,9.68,-0.22,-1.09,"{179.0, 179.1, 179.2}",15.0,38751.0
654,Mr,Male,Married,11/20/2019,7/31/2020,Inactive,7/31/2020,Staff,Contarct Basis,Buddhist,Safety Officer,1969.0,NA,NA,NA,NA,NA,NA
655,Mr,Male,Single,11/22/2019,3/14/2020,Inactive,3/14/2020,Staff,Contarct Basis,Buddhist,Lab Technician,1981.0,NA,NA,NA,NA,NA,NA
656,Mr,Male,Married,11/25/2019,9/7/2021,Inactive,9/7/2021,Staff,Contarct Basis,Buddhist,Operator-Excavator,1992.0,10.71,0.21,-2.07,"{203.0, 190.0}",12.0,48421.0
658,Mr,Male,Married,12/2/2019,9/30/2020,Inactive,9/30/2020,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1988.0,NA,NA,NA,NA,NA,NA
659,Mr,Male,Married,11/28/2005,\N,Active,\N,Staff,Contarct Basis,Hindu,Quantity Surveyor,1981.0,11.18,0.07,-2.58,"{193.0, 195.0, 200.0, 182.0, 184.0}",13.0,75671.0
660,Mr,Male,Married,12/1/2018,\N,Inactive,8/22/2020,Staff,Contarct Basis,Buddhist,Tractor Driver,1978.0,9.91,0.1,-1.0,{190.0},24.0,NA
662,Mr,Male,Single,1/4/2019,8/31/2021,Inactive,8/31/2021,Staff,Contarct Basis,Buddhist,Site Engineer-Trainee,1993.0,11.67,-0.11,-2.63,{190.0},30.0,NA
663,Mr,Male,Single,5/2/2019,7/21/2020,Inactive,7/21/2020,Staff,Contarct Basis,Buddhist,Store Keeper,1993.0,NA,NA,NA,NA,NA,NA
664,Mr,Male,Married,7/15/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1988.0,11.26,-0.09,-2.86,"{1.0, 198.1, 201.0, 203.0, 190.0}",25.0,100546.0
665,Mr,Male,Single,6/18/2018,8/30/2020,Inactive,8/30/2020,Staff,Contarct Basis,Buddhist,Store Keeper,1994.0,NA,NA,NA,NA,NA,NA
666,Mr,Male,Married,10/17/2018,\N,Inactive,2/29/2020,Staff,Contarct Basis,Buddhist,Driver - cab,1985.0,NA,NA,NA,NA,NA,NA
667,Mr,Male,Married,6/3/2019,10/21/2021,Inactive,10/21/2021,Staff,Contarct Basis,Buddhist,Project Manager,1983.0,8.61,0.63,-0.64,{169.0},10.0,NA
668,Mr,Male,Single,3/20/2017,8/8/2021,Inactive,8/8/2021,Staff,Contarct Basis,Buddhist,Engineer Assistant,1986.0,14.17,-0.3,-4.64,"{194.0, 194.1}",20.0,1731.0
670,Mr,Male,Married,9/12/2019,9/28/2020,Inactive,9/28/2020,Staff,Contarct Basis,Buddhist,Technical Officer,1987.0,NA,NA,NA,NA,NA,NA
671,Mr,Male,Single,5/15/2019,\N,Inactive,8/12/2021,Staff,Contarct Basis,Hindu,Project Manager,1991.0,10.14,0.35,-1.84,{195.0},21.0,NA
672,Mr,Male,Married,11/1/2019,7/6/2020,Inactive,7/6/2020,Staff,Contarct Basis,Muslim,Driver,1976.0,NA,NA,NA,NA,NA,NA
673,Mr,Male,Married,11/18/2019,\N,Active,\N,Staff,Contarct Basis,Muslim,Resident Engineer,1978.0,10.45,-0.15,-1.69,"{193.0, 169.0, 197.0}",4.0,172142.0
674,Mr,Male,Married,11/29/2016,\N,Inactive,9/30/2020,Staff,Contarct Basis,Buddhist,Draughtsman,1980.0,NA,NA,NA,NA,NA,NA
675,Mr,Male,Married,12/16/2017,9/15/2020,Inactive,9/15/2020,Staff,Contarct Basis,Buddhist,Driver-Tractor,1980.0,NA,NA,NA,NA,NA,NA
676,Mr,Male,Single,4/22/2019,\N,Inactive,4/30/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958.0,NA,NA,NA,NA,NA,NA
677,Mr,Male,Married,1/1/2019,6/30/2021,Inactive,6/30/2021,Labour,Contarct Basis,Buddhist,Fitter,1976.0,9.21,0.02,-0.23,{169.0},1.0,19139.0
678,Mr,Male,Single,1/1/2019,12/28/2020,Inactive,12/28/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993.0,NA,NA,NA,NA,NA,9928.0
680,Mr,Male,Married,1/1/2019,12/31/2020,Inactive,12/31/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971.0,NA,NA,NA,NA,NA,14719.0
682,Mr,Male,Married,12/6/2020,5/31/2021,Inactive,5/31/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1955.0,10.92,-0.32,-0.1,{169.0},1.0,16162.0
683,Mr,Male,Married,1/1/2019,12/31/2020,Inactive,12/31/2020,Labour,Contarct Basis,Buddhist,Fitter,1991.0,NA,NA,NA,NA,NA,NA
684,Mr,Male,Married,6/25/1998,1/16/2021,Inactive,1/16/2021,Staff,Permanant,Buddhist,Technical Officer,1978.0,NA,NA,NA,NA,NA,NA
685,Mr,Male,Married,1/1/2019,11/28/2020,Inactive,11/28/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972.0,NA,NA,NA,NA,NA,14818.0
686,Mr,Male,Married,2/1/2019,\N,Inactive,9/30/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1954.0,NA,NA,NA,NA,NA,15879.0
689,Mr,Male,Married,6/24/2019,12/31/2020,Inactive,12/31/2020,Staff,Contarct Basis,Buddhist,Resident Site Engineer,1959.0,NA,NA,NA,NA,NA,NA
690,Mr,Male,Married,6/24/2019,2/10/2022,Inactive,2/10/2022,Staff,Contarct Basis,Buddhist,Store Keeper,1974.0,11.91,-0.25,-3.29,{196.0},25.0,38562.0
691,Mr,Male,Single,3/7/2019,\N,Inactive,12/30/2020,Staff,Contarct Basis,Buddhist,Technical Officer,1991.0,NA,NA,NA,NA,NA,NA
692,Mr,Male,Married,1/8/2019,12/31/2020,Inactive,12/31/2020,Staff,Contarct Basis,Buddhist,Project Manager,1987.0,NA,NA,NA,NA,NA,NA
693,Mr,Male,Married,3/10/2019,\N,Inactive,4/2/2020,Staff,Contarct Basis,Buddhist,Resident Site Engineer,1955.0,NA,NA,NA,NA,NA,NA
695,Mr,Male,Married,2/1/2019,11/25/2020,Inactive,11/25/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1965.0,NA,NA,NA,NA,NA,10653.0
697,Mr,Male,Married,5/1/2019,8/31/2021,Inactive,8/31/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981.0,9.55,-0.15,-0.14,{169.0},7.0,21335.0
698,Mr,Male,Married,6/1/2020,\N,Active,\N,Labour,Contarct Basis,Buddhist,Security,1958.0,10.09,-0.45,-0.64,"{169.0, 198.1}",0.0,37843.0
699,Mr,Male,Married,12/22/2016,\N,Active,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1986.0,9.32,0.58,-1.81,"{179.0, 179.2, 179.1}",19.0,59647.0
700,Mr,Male,Single,9/1/2019,\N,Active,\N,Labour,Contarct Basis,Buddhist,Security,1991.0,12.89,10.19,9.89,{169.0},0.0,38528.0
701,Mr,Male,Single,1/1/2021,4/7/2022,Inactive,4/7/2022,Labour,Contarct Basis,Buddhist,Unskilled Labor,1992.0,10.25,-0.23,-1.03,{169.0},9.0,19836.0
702,Mr,Male,Married,10/9/2019,11/22/2020,Inactive,11/22/2020,Labour,Contarct Basis,Buddhist,Security,1961.0,NA,NA,NA,NA,NA,NA
703,Mr,Male,Married,10/10/2019,3/30/2021,Inactive,3/30/2021,Labour,Contarct Basis,Buddhist,Security,1981.0,14.0,10.0,9.0,{169.0},0.0,NA
709,Mr,Male,Single,6/1/2018,2/24/2022,Inactive,2/24/2022,Staff,Contarct Basis,Buddhist,Draughtsman,1994.0,8.59,-0.03,0.08,"{179.1, 179.0}",3.0,27959.0
710,Mr,Male,Single,1/8/2020,11/24/2020,Inactive,11/24/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999.0,NA,NA,NA,NA,NA,NA
711,Mr,Male,Married,10/10/2018,\N,Inactive,6/10/2020,Staff,Contarct Basis,Buddhist,Driver,1972.0,NA,NA,NA,NA,NA,NA
712,Mr,Male,Single,11/12/2018,6/30/2022,Inactive,6/30/2022,Staff,Contarct Basis,Muslim,Design Engineer,1994.0,8.25,1.26,-1.46,"{1.0, 179.1, 196.0, 179.0}",12.0,80168.0
713,Mr,Male,Single,2/25/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,QA/QC Engineer,1993.0,8.93,0.13,-0.45,"{179.1, 179.2, 179.0, 198.1}",8.0,91548.0
715,Mr,Male,Single,6/10/2019,10/18/2021,Inactive,10/18/2021,Staff,Contarct Basis,Buddhist,Site Engineer,1992.0,9.28,0.17,-0.75,"{179.1, 179.0, 179.2}",5.0,NA
716,Mr,Male,Married,4/1/2020,12/12/2020,Inactive,12/12/2020,Staff,Contarct Basis,Hindu,Project Manager,1962.0,NA,NA,NA,NA,NA,NA
717,Miss,Female,Single,7/10/2020,\N,Active,\N,Staff,Contarct Basis,Buddhist,Data Colector,1993.0,8.52,-0.09,0.01,"{179.1, 179.0}",7.0,21901.0
719,Mr,Male,Married,2/2/2020,3/30/2021,Inactive,1/15/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958.0,12.58,-0.73,1.94,{169.0},0.0,23537.0
718,Miss,Female,Single,7/3/2020,\N,Active,\N,Staff,Contarct Basis,Buddhist,Data Colector,1996.0,8.59,0.26,-0.53,"{179.1, 179.0}",4.0,22565.0
720,Miss,Female,Single,5/14/2018,9/4/2020,Inactive,9/4/2020,Staff,Contarct Basis,Buddhist,Data Colector,1993.0,NA,NA,NA,NA,NA,NA
721,Mr,Male,Married,2/3/2020,12/19/2020,Inactive,12/19/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1967.0,NA,NA,NA,NA,NA,NA
724,Miss,Female,Married,1/1/2020,7/31/2021,Inactive,7/31/2021,Staff,Contarct Basis,Buddhist,Technical Officer,1970.0,8.07,0.29,0.64,"{179.1, 179.0}",1.0,NA
726,Mr,Male,Married,2/7/2020,8/30/2020,Inactive,8/30/2020,Staff,Contarct Basis,Buddhist,Driver,1978.0,NA,NA,NA,NA,NA,NA
728,Mr,Male,Married,2/6/2020,5/10/2021,Inactive,5/10/2021,Staff,Contarct Basis,Buddhist,Technical Officer,1991.0,10.08,0.13,-1.2,"{179.1, 179.0}",18.0,NA
729,Mr,Male,Married,3/2/2020,\N,Inactive,6/24/2020,Labour,Contarct Basis,Buddhist,Mason,1964.0,NA,NA,NA,NA,NA,NA
730,Mr,Male,Single,4/18/2018,12/31/2020,Inactive,12/31/2020,Staff,Contarct Basis,Muslim,Supervisor,1993.0,NA,NA,NA,NA,NA,NA
731,Mr,Male,Single,11/12/2018,3/22/2021,Inactive,3/22/2021,Staff,Contarct Basis,Buddhist,Helper - JCB,2000.0,12.66,-0.02,-3.63,{187.0},3.0,NA
733,Mr,Male,Married,1/1/2019,7/18/2020,Inactive,7/18/2020,Staff,Contarct Basis,Buddhist,Driver - cab,1985.0,NA,NA,NA,NA,NA,NA
734,Mr,Male,Married,6/12/2019,\N,Inactive,2/25/2021,Staff,Contarct Basis,Hindu,Site Engineer,1987.0,10.74,-0.16,-1.58,{187.0},6.0,NA
735,Mr,Male,Single,2/24/2020,7/17/2021,Inactive,7/17/2021,Staff,Contarct Basis,Hindu,Engineer Assistant,1991.0,11.0,0.04,-2.29,"{199.0, 198.0, 198.1, 199.1}",7.0,NA
736,Mr,Male,Married,6/7/2010,\N,Active,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1987.0,14.09,0.34,-6.9,"{199.0, 199.1}",4.0,93647.0
737,Mr,Male,Married,11/26/2019,9/15/2020,Inactive,9/15/2020,Staff,Contarct Basis,Buddhist,Safety Officer,1976.0,NA,NA,NA,NA,NA,NA
738,Mr,Male,Married,1/1/2021,9/30/2021,Inactive,9/30/2021,Labour,Contarct Basis,Buddhist,Skilled Labor,1978.0,9.66,-0.27,-0.22,"{194.0, 194.1}",3.0,37966.0
739,Mr,Male,Married,4/2/2019,9/2/2021,Inactive,9/2/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971.0,9.6,-0.19,-0.11,"{194.0, 194.1}",6.0,33793.0
740,Mr,Male,Married,4/2/2019,3/24/2021,Inactive,3/24/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974.0,9.77,-0.2,-0.57,{194.0},0.0,22458.0
741,Mr,Male,Single,6/1/2020,6/28/2022,Inactive,6/28/2022,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984.0,10.07,-0.31,-0.61,"{194.0, 194.1}",3.0,33327.0
742,Mr,Male,Married,12/26/2020,2/27/2021,Inactive,2/27/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984.0,10.76,-0.29,-1.46,{194.0},0.0,14042.0
743,Mr,Male,Married,12/15/2020,2/25/2021,Inactive,2/25/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981.0,8.95,-0.24,0.29,{194.0},1.0,15749.0
744,Mr,Male,Married,9/7/2020,\N,Inactive,12/31/2020,Labour,Contarct Basis,Buddhist,Skilled Labor,1975.0,NA,NA,NA,NA,NA,19945.0
747,Mr,Male,Single,2/1/2017,\N,Active,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1994.0,14.18,0.4,-6.92,"{199.0, 199.1}",3.0,43461.0
749,Mr,Male,Married,10/1/2019,\N,Active,\N,Labour,Contarct Basis,Buddhist,Wacher,1951.0,9.77,0.13,0.96,"{194.0, 194.1}",16.0,20635.0
750,Mr,Male,Married,12/8/2019,\N,Inactive,8/31/2020,Labour,Contarct Basis,Buddhist,Driver-Tractor,1958.0,NA,NA,NA,NA,NA,NA
751,Mr,Male,Married,1/4/2020,\N,Inactive,4/24/2020,Labour,Contarct Basis,Buddhist,Operator - JCB,1978.0,NA,NA,NA,NA,NA,NA
752,Mr,Male,Single,2/5/2020,\N,Inactive,3/17/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999.0,NA,NA,NA,NA,NA,NA
753,Mr,Male,Married,5/14/2007,2/28/2020,Inactive,2/28/2020,Staff,Contarct Basis,Buddhist,Tractor Driver,1963.0,NA,NA,NA,NA,NA,NA
754,Mr,Male,Single,1/1/2019,\N,Active,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1991.0,11.09,-0.01,-2.08,{182.0},0.0,17115.0
755,Mr,Male,Married,2/27/2019,\N,Active,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0,11.56,0.0,-2.56,{182.0},0.0,15091.0
756,Mr,Male,Married,1/1/2020,\N,Inactive,3/21/2020,Labour,Contarct Basis,Hindu,Carpenter,1977.0,NA,NA,NA,NA,NA,NA
757,Mr,Male,Married,7/1/2020,4/30/2022,Inactive,4/30/2022,Labour,Contarct Basis,Buddhist,Carpenter,1980.0,11.36,0.0,-2.36,{182.0},0.0,25589.0
758,Ms,Female,Married,2/1/2020,\N,Active,\N,Labour,Contarct Basis,Buddhist,Cook,1978.0,9.62,-0.0,-0.62,{182.0},0.0,23019.0
760,Mr,Male,Married,12/7/2020,\N,Active,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1967.0,11.5,-0.72,-1.67,"{179.2, 179.0, 179.1}",4.0,32343.0
761,Mr,Male,Single,6/1/2020,5/17/2022,Inactive,5/17/2022,Labour,Contarct Basis,Buddhist,Office Assistant,1993.0,9.21,-0.16,-0.05,"{179.1, 179.0}",10.0,21704.0
762,Mr,Male,Married,7/1/2019,12/19/2020,Inactive,12/19/2020,Labour,Contarct Basis,Buddhist,Caretaker,1952.0,NA,NA,NA,NA,NA,NA
764,Mr,Male,Single,12/28/2019,3/19/2020,Inactive,3/19/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003.0,NA,NA,NA,NA,NA,NA
765,Mr,Male,Single,12/28/2019,\N,Inactive,3/19/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003.0,NA,NA,NA,NA,NA,NA
767,Mr,Male,Married,1/22/2020,\N,Inactive,12/31/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993.0,NA,NA,NA,NA,NA,NA
770,Mr,Male,Married,2/12/2020,\N,Inactive,7/21/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1964.0,NA,NA,NA,NA,NA,NA
772,Mr,Male,Single,1/1/2020,10/31/2021,Inactive,10/31/2021,Labour,Contarct Basis,Hindu,Unskilled Labor,1994.0,11.53,-0.18,-2.35,{187.0},2.0,38876.0
776,Mr,Male,Single,10/28/2019,12/12/2020,Inactive,12/12/2020,Labour,Contarct Basis,Buddhist,Fitter,1997.0,NA,NA,NA,NA,NA,52079.0
777,Mr,Male,Single,8/14/2020,\N,Inactive,9/22/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001.0,NA,NA,NA,NA,NA,NA
778,Mr,Male,Married,6/1/2020,6/8/2022,Inactive,6/8/2022,Labour,Contarct Basis,Buddhist,Unskilled Labor,1961.0,9.99,-0.59,-0.4,{196.0},9.0,28682.0
780,Mr,Male,Single,12/20/2019,\N,Inactive,9/9/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999.0,NA,NA,NA,NA,NA,NA
781,Mr,Male,Married,1/1/2019,3/20/2022,Inactive,3/20/2022,Labour,Contarct Basis,Catholic,Unskilled Labor,1990.0,11.02,-0.12,-1.89,{187.0},3.0,26954.0
782,Mr,Male,Single,3/11/2020,\N,Active,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,2000.0,NA,NA,NA,NA,NA,NA
783,Mr,Male,Single,1/1/2019,1/9/2022,Inactive,1/9/2022,Labour,Contarct Basis,Hindu,Unskilled Labor,2000.0,11.09,-0.29,-1.8,{187.0},3.0,20992.0
784,Mr,Male,Married,1/1/2019,5/31/2021,Inactive,5/31/2021,Labour,Contarct Basis,Hindu,Unskilled Labor,1954.0,11.63,-0.29,-2.34,{187.0},2.0,27043.0
785,Mr,Male,Married,1/1/2019,\N,Inactive,3/7/2020,Labour,Contarct Basis,Hindu,Unskilled Labor,1976.0,NA,NA,NA,NA,NA,NA
788,Mr,Male,Married,1/1/2019,5/31/2021,Inactive,5/31/2021,Labour,Contarct Basis,Catholic,Unskilled Labor,1961.0,10.58,-0.44,-1.14,{187.0},3.0,15913.0
789,Mr,Male,Single,1/1/2019,\N,Inactive,3/6/2020,Labour,Contarct Basis,Hindu,Unskilled Labor,1996.0,NA,NA,NA,NA,NA,NA
791,Mr,Male,Single,2/1/2019,\N,Inactive,2/28/2021,Labour,Contarct Basis,Catholic,Unskilled Labor,2000.0,12.24,-0.22,-3.02,{187.0},1.0,37152.0
794,Mr,Male,Married,7/1/2019,12/31/2019,Inactive,12/31/2019,Labour,Contarct Basis,Catholic,Unskilled Labor,1966.0,NA,NA,NA,NA,NA,NA
796,Mr,Male,Single,6/1/2019,\N,Inactive,7/31/2020,Labour,Contarct Basis,Hindu,Unskilled Labor,1995.0,NA,NA,NA,NA,NA,NA
798,Mr,Male,Married,12/15/2018,8/20/2021,Inactive,8/20/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993.0,10.52,0.05,-1.57,{190.0},24.0,27789.0
799,Mr,Male,Married,1/1/2019,7/31/2020,Inactive,7/31/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968.0,NA,NA,NA,NA,NA,NA
